MatchId,5min,6min,7min,8min,9min,10min,11min,12min,13min,14min,15min
KR_6710682161,40,22,22,29,24,37,41,45,32,32,44
KR_6790898937,40,28,23,34,26,51,33,32,46,33,37
KR_6712703543,36,29,32,42,39,33,56,29,43,36,27
KR_6740254280,32,28,23,42,26,36,40,27,45,39,37
KR_6720759492,45,29,36,31,34,30,46,26,31,29,39
KR_6659344391,37,34,37,24,61,37,40,41,31,40,39
KR_6779723088,30,66,30,41,61,30,47,45,54,55,59
KR_6664816608,55,36,93,77,34,78,33,53,67,110,66
KR_6661494169,47,38,36,41,36,38,49,67,40,41,28
KR_6635116476,44,26,31,39,48,25,43,41,30,55,31
KR_6787122806,43,31,27,35,23,36,34,29,39,44,26
KR_6656314377,32,41,34,30,45,33,39,37,43,44,39
KR_6681541705,41,35,50,43,43,39,36,58,52,46,50
KR_6784188404,40,20,41,24,28,37,22,42,27,34,36
KR_6688604976,28,22,31,31,46,35,46,41,42,18,30
KR_6668102745,41,42,24,35,30,30,41,52,28,53,29
KR_6787694055,29,35,45,29,26,20,35,45,50,40,40
KR_6727866379,34,33,28,31,33,28,39,24,36,35,37
KR_6688219800,52,31,25,42,24,41,52,21,60,30,31
KR_6779133191,44,31,50,30,23,44,46,38,53,39,25
KR_6780068332,33,30,25,33,36,41,27,41,35,35,43
KR_6788215622,51,44,38,32,43,40,26,32,38,62,39
KR_6785052862,46,34,39,37,40,43,55,45,35,54,46
KR_6726349048,47,41,40,29,39,43,48,39,36,38,40
KR_6743643815,54,43,34,34,26,18,43,48,50,44,39
KR_6791277357,44,32,32,29,46,35,32,53,45,45,34
KR_6752412098,33,34,43,34,24,25,37,24,52,29,19
KR_6784594199,32,27,25,40,52,41,39,34,52,30,30
KR_6780693432,36,45,32,35,38,23,50,40,44,41,36
KR_6676099190,40,48,36,27,51,38,32,65,28,34,36
KR_6755315093,25,40,34,33,31,26,33,53,21,40,33
KR_6788711296,36,35,30,37,29,25,51,37,35,34,29
KR_6642193919,56,27,48,51,49,78,69,79,32,61,44
KR_6763310346,56,27,48,51,49,78,69,79,32,61,44
KR_6779188172,56,27,48,51,49,78,69,79,32,61,44
KR_6782445789,41,42,38,29,34,44,33,49,27,50,33
KR_6756079215,44,46,34,55,36,45,44,39,49,35,71
KR_6748960006,35,39,33,21,65,24,44,24,39,29,44
KR_6669193784,27,22,38,28,32,38,26,46,41,47,23
KR_6788460772,44,25,31,29,39,29,46,34,30,50,37
KR_6767343346,43,33,40,38,29,43,24,49,34,36,27
KR_6661475318,45,43,34,53,37,50,47,45,46,40,37
KR_6714911844,36,24,31,41,20,38,43,33,52,38,57
KR_6716484731,55,22,34,55,39,45,29,46,53,23,50
KR_6736305265,34,42,28,38,36,21,36,31,42,39,50
KR_6780203320,45,43,46,46,40,47,40,37,38,30,44
KR_6664008178,33,27,33,46,49,34,29,43,58,40,33
KR_6764886603,26,31,34,34,30,27,27,17,42,51,25
KR_6770804522,40,27,28,31,26,37,37,35,47,29,31
KR_6730108027,37,28,26,48,39,37,44,22,21,37,36
KR_6791175230,52,29,33,31,31,37,27,29,46,39,37
KR_6790516701,25,42,24,42,17,34,36,27,51,18,52
KR_6715011801,22,37,36,35,41,30,45,38,49,57,22
KR_6784243549,51,32,35,26,35,34,31,33,28,36,50
KR_6741385911,39,39,33,40,42,38,30,55,34,55,33
KR_6786920447,27,47,35,46,31,40,42,25,42,37,32
KR_6786544014,52,36,32,21,35,39,47,36,37,51,54
KR_6761721130,34,22,51,34,24,24,39,34,36,42,29
KR_6791312639,35,34,29,31,28,41,38,36,37,39,28
KR_6653473666,24,39,37,44,44,46,42,32,43,34,39
KR_6762490453,38,32,31,20,48,32,44,51,41,56,30
KR_6773297928,35,27,34,38,34,40,29,62,35,54,50
KR_6703541885,46,31,37,43,40,21,29,34,29,46,36
KR_6791153303,27,28,40,44,17,25,35,47,39,35,31
KR_6786743476,40,41,42,24,33,39,28,28,34,33,37
KR_6789998299,38,25,30,26,37,28,32,32,36,44,48
KR_6779159518,35,38,26,33,24,39,42,46,33,46,35
KR_6788433472,33,34,19,39,27,31,65,24,40,35,38
KR_6740072921,41,27,25,38,56,29,43,34,31,31,39
KR_6789657117,86,58,37,34,62,70,80,82,39,60,35
KR_6771327130,48,32,38,29,26,33,33,40,42,30,45
KR_6787325324,43,38,42,51,52,34,33,47,57,50,46
KR_6781966107,29,43,33,30,44,34,27,42,32,30,54
KR_6748233305,45,34,29,39,45,34,36,42,48,31,44
KR_6709630239,44,27,29,29,35,38,19,38,29,45,38
KR_6737423941,31,34,37,44,30,36,33,39,28,47,26
KR_6667809416,39,33,25,23,23,53,34,22,43,32,48
KR_6718660601,38,28,34,23,52,51,42,52,45,55,32
KR_6788042824,40,57,32,18,58,25,36,45,47,30,34
KR_6788549051,34,45,36,36,36,37,24,32,46,31,31
KR_6743453968,40,38,33,24,31,41,38,43,48,34,25
KR_6740590766,46,28,36,47,44,29,52,35,48,47,40
KR_6782275650,36,42,51,50,29,51,30,52,30,27,43
KR_6790584001,45,21,37,38,25,36,41,31,31,36,35
KR_6784557407,36,39,32,22,45,42,32,32,45,41,17
KR_6741841269,44,32,32,34,34,33,32,27,70,32,39
KR_6727008908,33,31,26,43,34,41,25,41,33,47,30
KR_6759083062,24,33,39,35,23,41,44,27,44,38,38
KR_6644779647,31,34,30,35,28,31,23,41,44,39,45
KR_6777283928,30,33,44,35,45,30,30,54,38,31,49
KR_6710773293,30,29,24,37,45,36,40,45,62,36,36
KR_6789625811,27,43,29,21,25,31,44,31,34,39,34
KR_6784332638,47,30,18,46,35,20,44,22,37,38,50
KR_6758525148,33,25,35,31,32,33,49,40,44,38,49
KR_6644184804,28,46,28,29,40,49,37,26,35,44,30
KR_6752617901,32,33,44,34,27,46,38,42,40,42,30
KR_6757624811,40,22,40,35,34,40,26,50,16,42,31
KR_6764001967,34,30,41,32,26,34,39,48,41,49,31
KR_6787089387,46,25,28,31,42,24,29,51,36,43,30
KR_6684044780,21,32,33,35,36,31,39,45,30,47,26
KR_6786185663,34,38,35,33,28,39,43,41,30,35,42
KR_6768882170,35,34,37,34,46,31,40,26,41,28,43
KR_6783983422,35,37,25,38,31,36,34,43,35,24,36
KR_6720930510,60,35,29,38,29,24,30,36,47,39,35
KR_6783528926,42,32,39,31,38,42,24,37,56,33,40
KR_6781359503,31,50,43,26,21,41,44,44,23,66,33
KR_6727918589,25,28,47,33,36,37,45,55,28,55,38
KR_6721638309,46,33,35,47,27,30,28,36,35,34,30
KR_6781646438,38,32,28,34,39,27,29,26,26,53,38
KR_6731074568,30,45,31,30,33,25,40,47,45,35,48
KR_6786106518,43,19,43,31,53,36,21,38,42,28,41
KR_6715572446,30,51,25,41,43,29,31,48,43,33,34
KR_6645239408,35,40,19,46,30,31,40,47,41,43,44
KR_6682895016,59,26,47,36,38,44,32,33,48,51,38
KR_6785302080,35,31,44,38,29,24,43,42,36,38,39
KR_6705613666,36,39,31,30,31,59,32,50,33,36,29
KR_6659833050,36,32,36,39,23,49,31,26,64,35,41
KR_6699324139,35,27,29,44,24,37,41,29,25,25,48
KR_6654883116,26,31,32,41,41,38,30,54,36,32,45
KR_6664837706,41,53,35,42,40,54,42,48,49,52,45
KR_6742801289,39,24,46,23,48,43,58,37,41,32,51
KR_6736436133,39,35,32,46,34,24,32,47,64,35,36
KR_6779104973,34,53,27,32,36,53,40,45,56,46,47
KR_6788531822,42,19,35,28,26,28,34,25,49,59,30
KR_6488953928,26,30,31,30,43,34,30,36,24,41,42
KR_6790334149,43,26,35,39,50,18,33,52,38,36,29
KR_6675418150,40,28,42,33,22,45,31,37,43,40,21
KR_6771546004,30,35,31,27,36,31,35,33,36,21,27
KR_6698359365,37,37,49,42,39,37,72,34,50,39,52
KR_6692306023,102,42,40,36,70,47,49,49,61,54,62
KR_6618942170,36,29,22,51,30,53,61,41,38,22,18
KR_6644742773,37,28,39,31,26,53,34,38,28,43,28
KR_6791152590,42,30,27,35,28,38,21,56,39,35,39
KR_6671147454,26,35,28,43,26,45,41,46,39,34,72
KR_6720503331,45,35,41,40,40,46,57,47,48,42,42
KR_6765389581,45,35,41,40,40,46,57,47,48,42,42
KR_6698838419,45,35,41,40,40,46,57,47,48,42,42
KR_6658964685,30,28,27,41,31,44,25,36,35,38,24
KR_6692669031,30,39,29,30,35,48,36,32,43,35,27
KR_6695180929,31,49,37,24,31,26,55,28,56,36,36
KR_6785678338,38,34,27,43,23,29,45,45,32,29,40
