MatchId,5min,6min,7min,8min,9min,10min,11min,12min,13min,14min,15min
KR_6779692344,32,33,34,51,27,37,40,63,34,42,38
KR_6777735950,48,37,41,41,36,36,48,41,53,21,42
KR_6788495843,36,39,51,30,41,55,44,43,42,47,44
KR_6787594348,47,42,52,40,38,49,40,41,79,39,44
KR_6786379846,30,53,29,49,37,28,36,69,38,53,48
KR_6788690345,34,55,29,50,43,41,46,32,41,51,54
KR_6771731007,42,35,46,27,49,41,50,47,55,45,60
KR_6781552197,54,47,28,59,32,41,46,37,31,39,43
KR_6789619839,38,29,46,28,53,62,23,75,35,33,73
KR_6773618418,42,34,33,41,35,29,58,30,36,31,37
KR_6791911585,31,40,32,52,21,30,31,50,33,39,44
KR_6775199259,56,49,36,30,48,52,63,48,36,30,38
KR_6791188694,40,32,30,38,34,18,26,42,34,26,38
KR_6786148661,38,30,36,48,43,40,61,39,63,49,48
KR_6767300287,47,38,34,36,58,35,36,28,41,28,38
KR_6793292755,52,37,29,46,31,47,41,37,23,64,39
KR_6775613163,40,41,41,40,36,53,49,52,49,33,46
KR_6783353054,46,38,74,42,41,57,79,46,86,63,83
KR_6790528152,34,31,38,26,40,39,33,53,33,43,44
KR_6786080604,51,49,36,40,33,42,52,48,44,52,55
KR_6775686354,45,30,31,36,35,41,26,42,57,40,39
KR_6787046529,44,30,36,27,33,32,33,49,42,31,38
KR_6789036280,47,29,33,33,34,51,37,27,41,49,24
KR_6780094350,49,25,33,36,34,35,57,29,57,43,45
KR_6767341305,28,36,32,32,39,34,40,41,46,39,58
KR_6785690627,43,46,31,38,42,29,65,31,33,42,33
KR_6788029368,37,26,51,24,41,50,55,44,37,50,21
KR_6782286973,33,26,44,41,50,38,38,32,45,39,54
KR_6778976959,38,43,38,33,38,52,19,40,55,32,42
KR_6787120350,25,45,39,53,25,28,43,33,32,34,34
KR_6769302590,35,43,25,32,40,42,39,33,37,46,23
KR_6787115746,47,35,53,58,44,39,90,44,56,62,64
KR_6792147023,31,32,36,32,39,41,52,33,38,51,43
KR_6786783277,42,32,22,41,24,28,49,44,28,25,41
KR_6793678597,39,44,48,24,22,41,67,70,38,64,36
KR_6776522450,33,36,31,40,45,35,31,50,46,39,53
KR_6788859459,41,27,41,39,41,17,36,51,27,44,31
KR_6766218575,43,36,19,25,39,44,40,26,63,47,42
KR_6784550139,37,29,32,47,21,24,60,23,63,32,33
KR_6791839768,38,30,29,60,34,39,31,30,49,31,42
KR_6789034473,33,37,25,34,41,33,38,45,41,57,39
KR_6777286601,37,43,43,34,43,26,34,43,41,32,43
KR_6784538475,45,38,30,34,29,41,37,44,44,52,35
KR_6775896897,31,36,38,27,43,37,36,34,45,33,40
KR_6792589319,44,37,23,40,38,46,26,58,41,36,28
KR_6779132251,26,41,37,42,57,46,49,54,30,61,50
KR_6784547232,54,29,39,44,34,17,27,47,50,43,40
KR_6787532079,47,30,29,31,45,31,32,41,38,51,62
KR_6784824189,50,31,28,61,23,35,38,38,42,34,39
KR_6786950926,44,45,37,34,42,41,38,56,50,36,38
KR_6789903800,49,32,36,52,41,39,49,49,55,47,53
KR_6785542904,40,43,36,44,18,26,102,38,40,43,35
KR_6766003548,52,33,34,26,59,33,30,47,62,46,33
KR_6779104919,51,24,41,55,34,24,34,41,41,43,51
KR_6774495986,37,46,24,61,34,53,35,47,54,36,38
KR_6787193109,38,38,52,33,37,43,47,48,38,45,46
KR_6777585116,32,45,31,39,31,34,39,45,35,41,19
KR_6786595681,49,47,46,48,29,44,40,42,49,54,34
KR_6793697957,34,38,53,42,44,39,51,67,35,34,48
KR_6778220606,43,27,51,22,32,22,27,70,25,45,35
KR_6780421128,44,36,41,35,41,44,31,49,41,35,38
KR_6779178185,29,35,38,22,34,44,42,41,54,36,24
KR_6791411707,43,57,26,43,36,42,50,47,33,44,32
KR_6788782569,42,29,51,40,31,22,56,35,62,39,39
KR_6784972057,25,38,40,30,25,47,36,56,35,32,40
KR_6775355853,32,38,18,29,46,34,24,41,36,44,35
KR_6767412268,47,31,41,37,43,41,38,30,49,47,32
KR_6766563791,38,24,34,35,47,31,41,29,48,39,38
KR_6793124273,41,23,29,41,36,43,57,34,34,34,39
KR_6785141724,30,27,34,35,39,36,39,43,51,41,43
KR_6789569264,43,27,60,24,47,47,28,26,46,43,35
KR_6786145687,40,35,50,27,29,46,42,41,24,24,59
KR_6792718692,40,35,31,41,34,52,42,62,44,42,47
KR_6788755861,46,40,38,45,26,48,50,42,43,46,34
KR_6758460199,35,41,43,43,22,43,45,36,48,50,32
KR_6787038372,34,34,39,51,30,33,47,40,45,32,42
KR_6785881457,38,39,46,38,35,36,37,38,44,48,20
KR_6792067400,49,29,52,25,49,40,45,27,58,42,28
KR_6788796463,37,48,29,40,41,32,29,51,34,41,42
KR_6793678494,51,34,30,35,30,35,40,28,39,51,37
KR_6786324595,30,57,25,31,41,31,32,46,26,36,39
KR_6789206434,50,24,32,39,26,36,41,27,38,40,33
KR_6773378575,42,40,25,61,44,42,34,55,35,50,39
KR_6784512977,33,36,29,24,33,61,38,56,61,26,41
KR_6788742954,41,40,39,37,45,57,48,45,54,50,53
KR_6787093750,63,31,16,43,47,34,38,44,49,57,39
KR_6789862567,43,36,39,28,41,43,36,32,33,44,24
KR_6768736585,53,25,47,34,37,51,30,45,43,43,50
KR_6785803268,80,56,71,38,44,100,55,50,49,56,37
KR_6780908849,30,31,26,58,46,21,49,45,35,57,37
KR_6778568656,62,35,24,48,35,41,41,36,66,38,80
KR_6776911526,40,27,38,37,35,51,38,32,46,33,52
KR_6775569221,39,67,67,43,63,52,43,67,61,52,74
KR_6791929278,42,27,29,47,32,29,50,27,51,60,18
KR_6787407036,34,34,27,26,31,52,32,50,61,37,38
KR_6789004390,40,34,41,48,46,36,42,38,46,30,48
KR_6776531589,28,35,32,29,51,30,35,42,31,43,52
KR_6785011073,43,34,34,28,33,39,42,47,37,45,29
KR_6789876811,33,34,27,53,35,35,52,42,47,48,45
KR_6789250726,37,46,41,28,34,47,40,28,31,30,28
KR_6775654994,47,34,42,57,33,32,47,38,34,39,33
KR_6786509563,41,25,38,30,53,46,42,45,45,41,46
KR_6774727210,41,50,23,48,35,51,46,33,40,54,30
KR_6788080411,33,35,43,43,31,42,56,40,45,55,39
KR_6787143257,36,39,35,42,27,45,36,45,40,37,40
KR_6788469140,38,38,36,73,34,45,44,43,44,47,35
KR_6788775973,40,35,48,34,29,45,36,35,53,30,35
KR_6782018714,34,41,26,40,40,29,34,48,32,37,41
KR_6776012616,29,30,39,51,49,49,41,44,49,47,42
KR_6776569084,53,22,25,48,31,42,30,38,46,35,37
KR_6780720318,41,49,47,23,55,38,54,50,64,41,38
KR_6792801006,35,44,31,39,33,32,46,49,37,37,36
KR_6781742337,45,31,34,45,41,24,29,54,28,36,45
KR_6758469586,58,34,31,53,51,41,40,80,51,46,37
KR_6779499852,38,34,19,45,22,62,28,41,46,44,25
KR_6788213931,41,55,40,45,42,31,57,57,43,40,60
KR_6788847937,39,37,38,21,32,42,46,46,33,54,30
KR_6781242657,55,44,34,36,35,25,43,40,31,49,41
KR_6784558984,40,42,20,29,24,59,43,40,44,52,22
KR_6787750359,35,32,30,34,46,28,48,54,27,55,31
KR_6747684176,41,47,42,27,41,22,31,41,42,53,38
KR_6791139712,49,36,31,42,41,34,39,43,32,57,27
KR_6765496209,36,45,38,26,34,37,28,44,35,34,43
KR_6779182429,38,40,63,21,31,39,40,53,44,31,62
KR_6789890095,39,30,35,23,38,37,37,45,35,45,42
KR_6793028547,36,39,35,34,38,39,38,51,37,44,40
KR_6792832113,38,33,43,38,44,38,39,36,56,39,32
KR_6768175067,39,28,40,41,29,32,35,46,44,47,41
KR_6792959351,52,34,45,34,29,37,57,38,35,56,36
KR_6783495634,45,26,39,49,41,31,31,40,42,55,29
KR_6781165863,50,35,41,38,32,31,43,53,40,47,41
KR_6791408332,53,43,40,71,94,31,46,48,58,67,59
KR_6784851009,45,35,29,34,35,28,33,28,48,38,43
KR_6788872867,29,29,42,24,32,34,36,55,45,43,37
KR_6791779390,30,36,42,28,41,31,40,30,50,35,46
KR_6790453028,39,38,31,28,28,38,41,41,31,33,43
KR_6789188816,40,35,35,32,29,39,50,35,28,56,21
KR_6789415845,36,34,20,35,31,37,42,32,34,29,24
KR_6779779805,54,39,26,53,32,33,49,44,40,43,48
KR_6785222300,35,51,33,32,45,38,39,44,58,40,30
KR_6770457249,55,40,57,51,36,54,48,28,57,47,54
KR_6790463147,33,34,44,28,41,37,44,37,30,57,30
KR_6789230203,38,29,31,35,29,46,32,34,52,46,46
KR_6779814153,38,30,38,46,32,39,38,35,30,47,45
KR_6775699868,28,47,38,38,32,30,48,34,39,45,44
