Diff_FirstBLOOD,Diff_FirstDRAGON,Diff_FirstHERALD,Diff_Firsttower,Diff_LV,Diff_CS,Diff_jglCS,Diff_Kill,Diff_Asisst,Diff_WARDplaced,Diff_WARDkill,Diff_Inhibitor,Diff_TOWERkill,result,FirstDragon_AIR_DRAGON,FirstDragon_EARTH_DRAGON,FirstDragon_FIRE_DRAGON,FirstDragon_WATER_DRAGON,FirstDragon_HEXTECH_DRAGON,FirstDragon_CHEMTECH_DRAGON
-1,0,-1,0,2,-29,-15,4,-26,-8,1,0,0,1,0,0,0,0,0,0
-1,0,0,0,-1,30,4,-3,-3,84,-1,0,0,1,0,0,0,0,0,0
-1,-1,1,1,4,61,6,2,6,-18,2,0,0,1,0,0,0,0,0,0
1,1,0,0,2,45,-9,-3,-20,3,-2,0,0,1,0,1,0,0,0,0
-1,1,-1,0,1,4,0,6,25,-3,4,0,0,1,1,0,0,0,0,0
1,-1,-1,0,0,15,-17,1,-8,6,-1,0,0,1,0,0,0,0,0,0
1,0,0,0,0,19,-1,0,5,-5,1,0,0,1,0,0,0,0,0,0
1,0,-1,0,-2,-9,-10,-5,-3,1,0,0,0,1,0,0,0,0,0,0
-1,-1,0,0,2,14,24,0,-23,0,0,0,0,1,0,0,0,0,0,0
-1,0,-1,0,-1,-19,-2,1,0,-16,3,0,0,1,0,0,0,0,0,0
-1,0,0,0,1,27,1,0,-5,-5,-2,0,0,1,0,0,0,0,0,0
-1,1,0,0,-2,-5,-12,0,-16,-17,0,0,0,1,0,0,0,0,0,1
1,0,1,0,2,49,-18,8,33,-12,0,0,0,1,0,0,0,0,0,0
1,-1,1,0,1,-32,0,3,2,-94,17,0,0,1,0,0,0,0,0,0
-1,0,-1,0,1,36,-20,-2,-26,1,0,0,0,1,0,0,0,0,0,0
1,1,1,0,4,-46,0,8,41,-34,20,0,0,1,0,1,0,0,0,0
1,1,1,0,3,-19,5,4,50,-1,-2,0,0,1,0,0,0,1,0,0
1,1,1,0,4,35,3,11,40,19,-1,0,0,1,0,0,0,1,0,0
1,0,-1,0,0,16,0,2,3,3,1,0,0,1,0,0,0,0,0,0
1,0,-1,0,1,11,19,4,60,8,-4,0,0,1,0,0,0,0,0,0
1,0,0,0,-1,-5,-9,0,20,3,0,0,0,1,0,0,0,0,0,0
1,-1,0,0,3,15,8,3,-2,0,-4,0,0,1,0,0,0,0,0,0
-1,0,0,0,1,-8,8,0,6,21,-9,0,0,1,0,0,0,0,0,0
1,0,0,1,3,69,-8,5,31,3,1,0,0,1,0,0,0,0,0,0
1,0,1,0,4,61,0,8,30,19,0,0,0,1,0,0,0,0,0,0
-1,1,1,0,1,11,-16,-1,8,7,-1,0,0,1,0,0,0,0,1,0
1,1,0,0,5,44,4,9,22,37,3,0,0,1,0,0,0,0,0,1
1,1,1,1,4,44,-17,10,18,3,-1,0,0,1,0,1,0,0,0,0
-1,-1,0,0,-3,-26,-16,-5,-42,-2,-2,0,0,1,0,0,0,0,0,0
-1,0,1,0,5,50,16,4,-3,1,1,0,0,1,0,0,0,0,0,0
1,0,0,0,2,17,17,1,0,0,0,0,0,1,0,0,0,0,0,0
-1,0,0,0,-1,34,4,0,15,1,-1,0,0,1,0,0,0,0,0,0
-1,-1,-1,0,1,-16,21,-1,10,6,-2,0,0,1,0,0,0,0,0,0
-1,-1,-1,0,2,48,27,1,23,6,-4,0,0,1,0,0,0,0,0,0
-1,-1,1,0,1,30,-8,2,-19,8,0,0,0,1,0,0,0,0,0,0
1,0,0,0,2,23,-8,4,1,1,-3,0,0,1,0,0,0,0,0,0
1,-1,0,0,1,-15,-13,8,31,0,0,0,0,1,0,0,0,0,0,0
1,1,0,0,0,-9,13,2,34,6,1,0,0,1,0,0,0,0,0,1
1,0,0,0,3,38,-8,6,28,2,0,0,0,1,0,0,0,0,0,0
-1,0,0,0,2,29,-12,5,-9,6,-3,0,0,1,0,0,0,0,0,0
1,0,0,0,2,20,-3,2,8,11,0,0,0,1,0,0,0,0,0,0
-1,1,0,0,-1,-7,-4,-4,3,-13,3,0,0,1,1,0,0,0,0,0
-1,0,0,0,1,4,-2,3,6,0,0,0,0,1,0,0,0,0,0,0
1,1,1,0,0,-34,-12,7,59,2,-1,0,0,1,0,0,1,0,0,0
-1,1,0,0,1,-10,4,4,0,1,-2,0,0,1,0,1,0,0,0,0
-1,0,1,0,2,-3,-1,4,11,-16,8,0,0,1,0,0,0,0,0,0
1,1,0,0,1,-36,14,6,27,31,4,0,0,1,0,0,0,1,0,0
-1,-1,1,0,1,-9,14,0,-27,4,0,0,0,1,0,0,0,0,0,0
-1,0,0,0,-1,-16,-12,4,54,-68,-1,0,0,1,0,0,0,0,0,0
1,1,1,0,0,-6,4,2,21,5,-2,0,0,1,0,0,0,1,0,0
-1,0,0,0,0,-8,16,0,-14,-9,-2,0,0,1,0,0,0,0,0,0
1,0,-1,0,1,-17,-28,1,-2,-1,0,0,0,1,0,0,0,0,0,0
-1,1,-1,0,1,32,15,3,37,-4,1,0,0,1,0,0,1,0,0,0
1,-1,1,0,1,46,-4,2,-11,7,-2,0,0,1,0,0,0,0,0,0
1,0,0,0,1,-6,0,6,64,-2,0,0,0,1,0,0,0,0,0,0
-1,0,0,0,3,-20,-7,3,-7,12,1,0,0,1,0,0,0,0,0,0
1,0,0,0,0,22,-16,10,45,4,-3,0,0,1,0,0,0,0,0,0
-1,1,0,0,-2,-14,3,-5,-27,-5,-1,0,0,1,0,1,0,0,0,0
-1,0,0,0,-1,-25,7,1,5,38,-2,0,0,1,0,0,0,0,0,0
