Diff_FirstBLOOD,Diff_FirstDRAGON,Diff_FirstHERALD,Diff_Firsttower,Diff_LV,Diff_CS,Diff_jglCS,Diff_Kill,Diff_Asisst,Diff_WARDplaced,Diff_WARDkill,Diff_Inhibitor,Diff_TOWERkill,result,FirstDragon_AIR_DRAGON,FirstDragon_EARTH_DRAGON,FirstDragon_FIRE_DRAGON,FirstDragon_WATER_DRAGON,FirstDragon_HEXTECH_DRAGON,FirstDragon_CHEMTECH_DRAGON
1,0,0,0,-1,8,12,4,36,-24,16,0,0,1,0,0,0,0,0,0
-1,1,1,0,1,18,-4,-4,-18,2,0,0,0,1,1,0,0,0,0,0
1,-1,0,0,1,38,1,0,5,-72,0,0,0,1,0,0,0,0,0,0
-1,0,-1,0,-1,-15,0,3,2,0,-3,0,0,1,0,0,0,0,0,0
-1,1,0,0,2,8,0,0,-46,-4,-1,0,0,1,0,0,0,0,0,1
1,1,0,0,-1,-27,-12,0,2,2,-2,0,0,1,1,0,0,0,0,0
1,0,0,0,0,8,-4,-3,-15,259,0,0,0,1,0,0,0,0,0,0
-1,0,0,0,1,-59,28,2,-14,5,-2,0,0,1,0,0,0,0,0,0
-1,1,0,0,1,-3,-4,7,8,-1,-1,0,0,1,0,0,0,0,1,0
-1,1,0,0,0,16,18,1,-12,5,-1,0,0,1,0,0,1,0,0,0
-1,1,0,0,3,62,-21,0,-16,3,2,0,0,1,0,1,0,0,0,0
1,1,0,0,2,54,8,8,33,5,-1,0,0,1,1,0,0,0,0,0
-1,1,0,0,2,1,0,1,-11,-1,0,0,0,1,0,0,0,1,0,0
1,0,0,0,2,0,5,2,-9,-17,-2,0,0,1,0,0,0,0,0,0
-1,1,1,0,2,23,24,-1,-11,-5,1,0,0,1,0,1,0,0,0,0
1,0,0,0,-2,25,12,-6,-23,-2,-3,0,0,1,0,0,0,0,0,0
-1,-1,0,0,-1,27,4,-2,-12,4,1,0,0,1,0,0,0,0,0,0
1,0,0,0,-2,-66,-8,5,53,1,0,0,0,1,0,0,0,0,0,0
1,1,-1,0,1,57,-9,-1,-8,-3,1,0,0,1,0,0,0,1,0,0
-1,0,0,0,-1,-1,4,7,11,0,-1,0,0,1,0,0,0,0,0,0
-1,0,0,0,-1,-6,9,-4,-30,270,2,0,0,1,0,0,0,0,0,0
1,1,0,0,-2,-29,0,-2,20,-1,-3,0,0,1,0,0,0,0,1,0
1,0,0,0,4,64,12,5,23,5,2,0,0,1,0,0,0,0,0,0
1,1,0,0,0,36,12,1,-8,-5,1,0,0,1,1,0,0,0,0,0
-1,0,1,0,0,48,-16,4,1,7,0,0,0,1,0,0,0,0,0,0
1,0,0,0,-2,-21,0,0,-13,36,0,0,0,1,0,0,0,0,0,0
1,1,1,0,1,9,8,0,20,-1,-2,0,0,1,0,1,0,0,0,0
-1,1,0,0,-2,-23,24,3,33,-70,1,0,0,1,0,0,0,0,0,1
-1,-1,0,0,0,-8,24,-1,-8,3,-2,0,0,1,0,0,0,0,0,0
1,0,0,0,-2,16,-12,-1,8,-40,-1,0,0,1,0,0,0,0,0,0
1,-1,-1,0,0,18,-40,7,24,5,1,0,0,1,0,0,0,0,0,0
1,-1,0,0,-1,4,-4,-1,2,5,-1,0,0,1,0,0,0,0,0,0
-1,0,0,0,0,-7,-3,1,-3,-20,0,0,0,1,0,0,0,0,0,0
1,0,0,0,0,-7,-5,3,13,-10,0,0,0,1,0,0,0,0,0,0
1,0,0,0,0,-1,5,1,17,5,1,0,0,1,0,0,0,0,0,0
1,1,1,1,-1,10,-8,3,50,4,0,0,1,1,0,0,0,0,0,1
1,0,-1,0,1,37,13,-3,-27,17,-3,0,0,1,0,0,0,0,0,0
-1,1,0,0,1,-6,-8,0,-8,6,0,0,0,1,1,0,0,0,0,0
1,0,0,0,0,13,24,0,6,-77,2,0,0,1,0,0,0,0,0,0
-1,-1,0,0,-2,-51,0,-2,-3,5,0,0,0,1,0,0,0,0,0,0
1,0,0,0,1,11,0,-4,-25,-188,3,0,0,1,0,0,0,0,0,0
1,1,0,0,1,24,4,3,2,-23,10,0,0,1,1,0,0,0,0,0
-1,0,0,0,-4,29,-40,-2,2,7,0,0,0,1,0,0,0,0,0,0
1,1,1,0,0,7,4,3,7,2,0,0,0,1,0,0,1,0,0,0
1,0,0,0,-1,-31,0,-1,21,-76,0,0,0,1,0,0,0,0,0,0
-1,0,0,0,0,10,4,-5,-24,6,-1,0,0,1,0,0,0,0,0,0
-1,0,-1,0,2,63,28,-3,-21,-3,2,0,0,1,0,0,0,0,0,0
1,1,1,0,0,-25,4,5,18,-2,2,0,0,1,1,0,0,0,0,0
1,1,0,0,1,4,4,6,8,0,2,0,0,1,0,0,0,0,1,0
1,-1,1,0,2,20,24,3,-7,-6,1,0,0,1,0,0,0,0,0,0
1,-1,0,0,3,31,4,3,12,13,-1,0,0,1,0,0,0,0,0,0
1,1,-1,0,0,6,16,6,29,-75,1,0,0,1,0,1,0,0,0,0
1,0,0,0,0,-28,-2,-1,-10,71,-1,0,0,1,0,0,0,0,0,0
-1,1,-1,0,-2,-16,-8,3,59,-60,-2,0,0,1,0,0,0,1,0,0
1,0,0,0,0,20,1,-1,-17,7,-2,0,0,1,0,0,0,0,0,0
1,0,0,0,3,38,4,4,36,19,0,0,0,1,0,0,0,0,0,0
1,0,1,0,2,-6,4,7,23,-1,1,0,0,1,0,0,0,0,0,0
1,1,0,0,1,69,-28,4,26,0,-2,0,0,1,0,0,0,0,1,0
-1,0,0,0,2,36,-4,1,-8,-56,0,0,0,1,0,0,0,0,0,0
-1,0,0,0,4,8,0,1,4,2,0,0,0,1,0,0,0,0,0,0
-1,0,0,0,2,38,7,-1,2,-5,3,0,0,1,0,0,0,0,0,0
1,0,0,0,-2,4,-12,1,-8,0,-1,0,0,1,0,0,0,0,0,0
