Diff_FirstBLOOD,Diff_FirstDRAGON,Diff_FirstHERALD,Diff_Firsttower,Diff_LV,Diff_CS,Diff_jglCS,Diff_Kill,Diff_Asisst,Diff_WARDplaced,Diff_WARDkill,Diff_Inhibitor,Diff_TOWERkill,result,FirstDragon_AIR_DRAGON,FirstDragon_EARTH_DRAGON,FirstDragon_FIRE_DRAGON,FirstDragon_WATER_DRAGON,FirstDragon_HEXTECH_DRAGON,FirstDragon_CHEMTECH_DRAGON
1,0,-1,0,-1,-16,-11,-1,8,6,-2,0,0,1,0,0,0,0,0,0
1,1,-1,0,1,10,-8,4,6,1,2,0,0,1,0,0,0,0,1,0
1,-1,1,0,0,5,-12,3,18,108,1,0,0,1,0,0,0,0,0,0
1,1,0,0,3,-2,20,0,-15,-4,4,0,0,1,0,1,0,0,0,0
1,0,0,0,2,17,16,2,24,-52,0,0,0,1,0,0,0,0,0,0
1,0,0,0,2,52,-17,6,28,-8,2,0,0,1,0,0,0,0,0,0
-1,0,0,0,0,1,20,1,0,6,-6,0,0,1,0,0,0,0,0,0
1,0,1,0,5,54,-4,5,12,0,2,0,0,1,0,0,0,0,0,0
-1,-1,0,0,0,-46,12,2,10,1,0,0,0,1,0,0,0,0,0,0
1,0,-1,0,1,26,15,3,1,0,0,0,0,1,0,0,0,0,0,0
-1,1,0,0,-2,-37,-5,-2,-23,2,0,0,0,1,0,0,1,0,0,0
1,0,-1,0,-1,7,-16,0,-2,3,2,0,0,1,0,0,0,0,0,0
1,-1,1,0,1,35,8,5,19,0,2,0,0,1,0,0,0,0,0,0
1,0,0,0,3,42,8,6,7,1,0,0,0,1,0,0,0,0,0,0
1,-1,0,0,-1,-13,-28,1,32,0,-1,0,0,1,0,0,0,0,0,0
1,1,-1,0,3,0,4,5,7,-4,-2,0,0,1,0,0,1,0,0,0
1,-1,1,0,-1,6,0,-1,-4,5,0,0,0,1,0,0,0,0,0,0
1,1,0,0,4,17,-3,-1,-9,-2,-2,0,0,1,0,0,0,0,1,0
-1,0,0,0,0,-34,4,0,13,-16,2,0,0,1,0,0,0,0,0,0
1,0,0,0,0,55,-7,-3,2,3,0,0,0,1,0,0,0,0,0,0
-1,-1,0,0,-2,-8,-23,-1,-3,1,0,0,0,1,0,0,0,0,0,0
1,0,0,0,2,21,0,6,13,-1,-1,0,0,1,0,0,0,0,0,0
-1,-1,1,0,1,2,17,-7,-36,-9,0,0,0,1,0,0,0,0,0,0
1,0,0,0,-1,19,-16,4,51,15,-1,0,0,1,0,0,0,0,0,0
-1,0,0,0,0,-2,9,0,-19,73,-2,0,0,1,0,0,0,0,0,0
-1,0,1,0,3,23,-8,7,59,0,4,0,0,1,0,0,0,0,0,0
1,1,0,0,1,41,4,2,10,2,2,0,0,1,0,0,0,0,0,1
1,0,0,0,2,-9,-4,0,-5,4,1,0,0,1,0,0,0,0,0,0
1,0,-1,0,3,31,10,4,6,38,2,0,0,1,0,0,0,0,0,0
1,0,0,0,3,2,3,7,71,14,2,0,0,1,0,0,0,0,0,0
1,-1,1,1,4,58,16,7,24,-7,1,0,1,1,0,0,0,0,0,0
1,1,0,0,1,31,16,3,4,83,4,0,0,1,1,0,0,0,0,0
1,0,0,0,-1,-14,-12,3,32,25,2,0,0,1,0,0,0,0,0,0
-1,1,0,0,3,3,28,3,0,-3,0,0,0,1,1,0,0,0,0,0
1,0,0,0,-4,-40,-15,-3,-5,3,-6,0,0,1,0,0,0,0,0,0
-1,0,0,0,2,23,-4,2,-2,40,-13,0,0,1,0,0,0,0,0,0
-1,0,0,0,3,20,-4,0,1,-175,2,0,0,1,0,0,0,0,0,0
-1,-1,0,0,3,12,8,-1,-20,1,0,0,0,1,0,0,0,0,0,0
1,0,0,0,-1,-25,0,4,13,-4,-1,0,0,1,0,0,0,0,0,0
1,1,-1,0,1,17,-15,3,19,-3,1,0,0,1,0,0,0,0,0,1
-1,1,0,0,1,22,-12,9,45,0,-2,0,0,1,0,0,1,0,0,0
1,1,0,0,1,9,-4,4,1,3,2,0,0,1,0,0,0,0,0,1
1,0,0,0,2,5,-13,6,29,7,0,0,0,1,0,0,0,0,0,0
-1,1,-1,0,2,8,16,0,-7,-5,3,0,0,1,0,0,0,0,0,1
1,0,0,0,-1,10,-22,1,0,13,0,0,0,1,0,0,0,0,0,0
1,1,0,0,3,32,-24,10,31,-10,4,0,0,1,0,0,0,0,1,0
1,0,0,0,-1,16,-12,2,4,-15,3,0,0,1,0,0,0,0,0,0
1,0,0,0,4,-4,-4,13,42,-1,0,0,0,1,0,0,0,0,0,0
1,0,0,0,-1,8,-8,-1,-7,-9,1,0,0,1,0,0,0,0,0,0
1,1,1,0,2,24,27,2,9,4,-3,0,0,1,0,0,0,0,0,1
1,0,0,0,1,-33,-8,6,24,8,-3,0,0,1,0,0,0,0,0,0
1,0,0,0,1,47,-32,7,54,1,1,0,0,1,0,0,0,0,0,0
-1,0,0,0,2,13,8,1,8,3,2,0,0,1,0,0,0,0,0,0
-1,0,1,0,1,10,-2,-1,-34,-3,0,0,0,1,0,0,0,0,0,0
-1,0,-1,0,2,4,4,1,-24,-31,3,0,0,1,0,0,0,0,0,0
1,1,-1,0,1,40,-4,9,43,-7,0,0,0,1,0,0,0,1,0,0
-1,1,-1,0,0,19,6,-4,-17,0,0,0,0,1,0,0,0,0,1,0
-1,0,1,0,0,-46,8,-5,-30,37,0,0,0,1,0,0,0,0,0,0
1,1,0,0,0,21,11,3,36,-11,-1,0,0,1,1,0,0,0,0,0
1,0,0,0,2,8,-6,0,-9,-5,3,0,0,1,0,0,0,0,0,0
1,-1,0,0,0,-14,0,0,5,6,0,0,0,1,0,0,0,0,0,0
-1,0,0,0,0,-33,11,-7,-43,-3,-1,0,0,1,0,0,0,0,0,0
1,0,1,0,0,2,-11,5,32,146,-1,0,0,1,0,0,0,0,0,0
-1,1,-1,0,-1,50,-12,2,15,1,4,0,0,1,0,0,0,0,0,1
1,1,0,0,2,61,28,3,-3,-1,2,0,0,1,0,0,0,0,0,1
-1,0,0,0,-1,9,14,-4,-32,1,0,0,0,1,0,0,0,0,0,0
