Diff_FirstBLOOD,Diff_FirstDRAGON,Diff_FirstHERALD,Diff_Firsttower,Diff_LV,Diff_CS,Diff_jglCS,Diff_Kill,Diff_Asisst,Diff_WARDplaced,Diff_WARDkill,Diff_Inhibitor,Diff_TOWERkill,result,FirstDragon_AIR_DRAGON,FirstDragon_EARTH_DRAGON,FirstDragon_FIRE_DRAGON,FirstDragon_WATER_DRAGON,FirstDragon_HEXTECH_DRAGON,FirstDragon_CHEMTECH_DRAGON
-1,0,0,0,0,9,8,0,-27,-4,1,0,0,1,0,0,0,0,0,0
-1,0,0,0,0,-23,4,-2,-8,24,-10,0,0,1,0,0,0,0,0,0
1,0,0,1,-2,19,5,0,8,5,-1,0,1,1,0,0,0,0,0,0
1,1,0,0,2,21,4,4,14,40,0,0,0,1,1,0,0,0,0,0
-1,-1,0,0,0,-53,8,-8,-47,-1,1,0,0,1,0,0,0,0,0,0
-1,1,0,0,-1,-9,0,-2,-13,-2,1,0,0,1,0,0,0,0,0,1
-1,0,0,0,2,-39,6,6,8,4,-3,0,0,1,0,0,0,0,0,0
-1,0,1,0,3,19,8,2,-7,-227,1,0,0,1,0,0,0,0,0,0
1,-1,0,0,1,40,4,-2,-3,77,1,0,0,1,0,0,0,0,0,0
1,0,0,0,0,-17,1,5,21,-115,0,0,0,1,0,0,0,0,0,0
1,1,0,0,2,51,0,8,11,75,4,0,0,1,0,0,0,1,0,0
-1,1,0,0,-1,-4,-8,-3,8,-8,1,0,0,1,0,0,1,0,0,0
1,1,0,0,1,5,-3,3,10,5,3,0,0,1,1,0,0,0,0,0
-1,-1,1,0,0,24,0,0,3,-1,-11,0,0,1,0,0,0,0,0,0
1,0,-1,0,-1,-40,8,5,23,12,0,0,0,1,0,0,0,0,0,0
-1,0,0,0,0,-10,9,-1,-9,-4,0,0,0,1,0,0,0,0,0,0
-1,0,0,0,0,-39,-20,0,-4,-16,-2,0,0,1,0,0,0,0,0,0
-1,0,0,0,-2,-2,-4,-4,-13,12,-6,0,0,1,0,0,0,0,0,0
-1,-1,0,0,-1,-37,-4,1,1,7,-1,0,0,1,0,0,0,0,0,0
1,-1,0,0,0,28,-12,0,-7,-5,-1,0,0,1,0,0,0,0,0,0
1,-1,0,0,-2,-12,4,0,5,71,0,0,0,1,0,0,0,0,0,0
1,1,0,0,-2,-22,-10,3,30,1,3,0,0,1,0,0,0,0,0,1
1,0,0,0,3,-22,16,6,74,5,1,0,0,1,0,0,0,0,0,0
-1,0,0,0,1,18,10,1,10,34,5,0,0,1,0,0,0,0,0,0
1,0,0,0,3,36,28,3,0,0,1,0,0,1,0,0,0,0,0,0
-1,0,0,0,-1,-46,-16,2,11,-1,-1,0,0,1,0,0,0,0,0,0
-1,-1,0,0,0,-37,4,3,17,-9,2,0,0,1,0,0,0,0,0,0
-1,0,0,0,2,35,32,-2,-15,9,-1,0,0,1,0,0,0,0,0,0
1,0,0,0,0,-13,-11,1,8,1,1,0,0,1,0,0,0,0,0,0
1,-1,1,0,2,23,7,4,-1,7,0,0,0,1,0,0,0,0,0,0
1,0,0,0,2,-5,4,9,27,-1,2,0,0,1,0,0,0,0,0,0
-1,0,0,0,-1,-6,16,-1,-6,3,0,0,0,1,0,0,0,0,0,0
1,0,0,0,0,5,4,3,23,-2,0,0,0,1,0,0,0,0,0,0
1,0,0,0,1,11,8,8,31,19,0,0,0,1,0,0,0,0,0,0
-1,0,0,0,3,19,18,6,-8,-2,1,0,0,1,0,0,0,0,0,0
1,0,0,0,3,29,-12,9,37,88,2,0,0,1,0,0,0,0,0,0
1,1,0,0,0,1,16,3,0,1,-1,0,0,1,1,0,0,0,0,0
1,0,-1,0,0,29,0,5,8,-1,1,0,0,1,0,0,0,0,0,0
1,-1,0,0,2,22,3,2,-8,0,2,0,0,1,0,0,0,0,0,0
1,1,0,0,1,1,-8,2,22,-10,0,0,0,1,0,0,1,0,0,0
-1,0,0,0,0,24,-8,1,-1,2,-2,0,0,1,0,0,0,0,0,0
1,-1,1,0,2,47,4,9,-4,79,-1,0,0,1,0,0,0,0,0,0
-1,-1,0,0,1,-19,12,-1,12,-39,11,0,0,1,0,0,0,0,0,0
1,0,0,0,2,-32,8,-2,-3,-20,18,0,0,1,0,0,0,0,0,0
-1,1,-1,0,3,19,4,8,83,-4,2,0,0,1,1,0,0,0,0,0
-1,0,0,0,-1,-80,30,-12,-28,-1,0,0,0,1,0,0,0,0,0,0
1,1,1,0,3,4,27,6,29,-8,1,0,0,1,0,0,0,1,0,0
-1,0,-1,0,-1,-32,20,-2,0,6,-3,0,0,1,0,0,0,0,0,0
1,0,0,0,-1,1,11,-1,-10,-13,-1,0,0,1,0,0,0,0,0,0
-1,0,0,0,3,18,12,4,38,-11,0,0,0,1,0,0,0,0,0,0
1,0,0,0,0,-36,16,0,1,-6,8,0,0,1,0,0,0,0,0,0
1,0,-1,0,2,22,0,8,38,-6,2,0,0,1,0,0,0,0,0,0
1,0,1,0,2,-29,8,3,17,-2,1,0,0,1,0,0,0,0,0,0
1,0,1,0,5,60,16,9,11,-13,-2,0,0,1,0,0,0,0,0,0
-1,1,0,0,1,1,4,5,66,-2,0,0,0,1,0,0,1,0,0,0
1,1,0,0,0,19,4,2,33,13,-2,0,0,1,0,1,0,0,0,0
-1,1,1,0,0,1,11,0,-2,36,-2,0,0,1,0,0,1,0,0,0
-1,1,0,0,0,-48,21,-1,2,-22,-2,0,0,1,0,0,1,0,0,0
-1,1,1,0,4,37,25,0,-54,-9,1,0,0,1,0,1,0,0,0,0
-1,0,0,0,-4,-14,-12,-5,-13,-11,-2,0,0,1,0,0,0,0,0,0
1,0,0,0,-1,-15,-5,0,4,-10,0,0,0,1,0,0,0,0,0,0
-1,0,-1,0,1,55,-16,3,-22,-1,-4,0,0,1,0,0,0,0,0,0
1,-1,1,0,0,-10,4,2,13,0,1,0,0,1,0,0,0,0,0,0
1,-1,0,0,0,-17,-16,4,7,-3,1,0,0,1,0,0,0,0,0,0
-1,0,1,0,2,-58,16,5,0,13,1,0,0,1,0,0,0,0,0,0
-1,0,0,0,0,30,0,3,9,5,2,0,0,1,0,0,0,0,0,0
