Tier,Min,TIME,Model,Train_Accuracy,Test_Accuracy,F1_score,ROC_AUC,TN,FP,FN,TP
GRANDMASTER,10,2023-11-24 21:11:56,"LGBMClassifier(max_depth=8, num_leaves=20, random_state=10, verbosity=0)",87.1,78.22,78.25,78.26,1469,371,448,1473,solve ExtraTrees overfittng
GRANDMASTER,10,2023-11-24 21:11:59,"CatBoost{'depth': 6, 'l2_leaf_reg': 15, 'verbose': 0, 'random_state': 10}",90.13,79.53,79.64,79.55,1485,355,415,1506,solve ExtraTrees overfittng
GRANDMASTER,10,2023-11-24 21:12:01,ExtraTreesClassifier(random_state=10),100.0,77.11,77.14,77.14,1447,393,468,1453,solve ExtraTrees overfittng
Tier,Min,TIME,Model,Train_Accuracy,Test_Accuracy,F1_score,ROC_AUC,TN,FP,FN,TP,Note
GRANDMASTER,10,2023-11-24 21:14:08,"RandomForestClassifier(max_leaf_nodes=100, random_state=10)",80.05,73.15,73.18,73.18,1373,467,543,1378,solve ExtraTrees overfittng
GRANDMASTER,10,2023-11-24 21:14:08,"LGBMClassifier(min_data_in_leaf=25, random_state=10, verbosity=0)",91.27,78.99,79.13,79.02,1473,367,423,1498,solve ExtraTrees overfittng
GRANDMASTER,10,2023-11-24 21:14:11,"CatBoost{'depth': 6, 'l2_leaf_reg': 15, 'verbose': 0, 'random_state': 10}",90.13,79.53,79.64,79.55,1485,355,415,1506,solve ExtraTrees overfittng
GRANDMASTER,10,2023-11-24 21:14:13,ExtraTreesClassifier(random_state=10),100.0,77.11,77.14,77.14,1447,393,468,1453,solve ExtraTrees overfittng
Tier,Min,TIME,Model,Train_Accuracy,Test_Accuracy,F1_score,ROC_AUC,TN,FP,FN,TP,Note
GRANDMASTER,10,2023-11-24 21:14:49,"RandomForestClassifier(max_leaf_nodes=100, random_state=10)",80.05,73.15,73.18,73.18,1373,467,543,1378,solve ExtraTrees overfittng
GRANDMASTER,10,2023-11-24 21:14:49,"LGBMClassifier(min_data_in_leaf=25, verbosity=0)",91.27,78.99,79.13,79.02,1473,367,423,1498,solve ExtraTrees overfittng
GRANDMASTER,10,2023-11-24 21:14:52,"CatBoost{'depth': 6, 'l2_leaf_reg': 15, 'verbose': 0, 'random_state': 10}",90.13,79.53,79.64,79.55,1485,355,415,1506,solve ExtraTrees overfittng
GRANDMASTER,10,2023-11-24 21:14:54,ExtraTreesClassifier(random_state=10),100.0,77.11,77.14,77.14,1447,393,468,1453,solve ExtraTrees overfittng
Tier,Min,TIME,Model,Train_Accuracy,Test_Accuracy,F1_score,ROC_AUC,TN,FP,FN,TP,Note
GRANDMASTER,10,2023-11-24 21:15:44,"RandomForestClassifier(max_leaf_nodes=100, random_state=10)",80.0,73.09,73.14,73.12,1371,469,543,1378,solve ExtraTrees overfittng
GRANDMASTER,10,2023-11-24 21:15:44,"LGBMClassifier(min_data_in_leaf=25, verbosity=0)",91.02,79.02,78.99,79.06,1489,351,438,1483,solve ExtraTrees overfittng
GRANDMASTER,10,2023-11-24 21:15:48,"CatBoost{'depth': 6, 'l2_leaf_reg': 15, 'verbose': 0, 'random_state': 10}",90.87,80.4,80.49,80.43,1504,336,401,1520,solve ExtraTrees overfittng
GRANDMASTER,10,2023-11-24 21:15:49,ExtraTreesClassifier(random_state=10),100.0,77.61,77.5,77.66,1469,371,471,1450,solve ExtraTrees overfittng
Tier,Min,TIME,Model,Train_Accuracy,Test_Accuracy,F1_score,ROC_AUC,TN,FP,FN,TP,Note
GRANDMASTER,10,2023-11-24 21:16:01,"RandomForestClassifier(max_leaf_nodes=100, random_state=10)",80.0,73.09,73.14,73.12,1371,469,543,1378,solve ExtraTrees overfittng
GRANDMASTER,10,2023-11-24 21:16:01,"LGBMClassifier(min_data_in_leaf=25, verbosity=0)",91.02,79.02,78.99,79.06,1489,351,438,1483,solve ExtraTrees overfittng
GRANDMASTER,10,2023-11-24 21:16:04,"CatBoost{'depth': 6, 'l2_leaf_reg': 15, 'verbose': 0, 'random_state': 10}",90.87,80.4,80.49,80.43,1504,336,401,1520,solve ExtraTrees overfittng
GRANDMASTER,10,2023-11-24 21:16:06,ExtraTreesClassifier(random_state=10),100.0,77.61,77.5,77.66,1469,371,471,1450,solve ExtraTrees overfittng
Tier,Min,TIME,Model,Train_Accuracy,Test_Accuracy,F1_score,ROC_AUC,TN,FP,FN,TP,Note
GRANDMASTER,10,2023-11-24 21:16:12,"RandomForestClassifier(max_leaf_nodes=100, random_state=10)",80.0,73.09,73.14,73.12,1371,469,543,1378,solve ExtraTrees overfittng
GRANDMASTER,10,2023-11-24 21:16:13,"LGBMClassifier(max_depth=8, num_leaves=20, random_state=10, verbosity=0)",87.24,78.22,78.22,78.26,1471,369,450,1471,solve ExtraTrees overfittng
GRANDMASTER,10,2023-11-24 21:16:16,"CatBoost{'depth': 6, 'l2_leaf_reg': 15, 'verbose': 0, 'random_state': 10}",90.87,80.4,80.49,80.43,1504,336,401,1520,solve ExtraTrees overfittng
GRANDMASTER,10,2023-11-24 21:16:17,ExtraTreesClassifier(random_state=10),100.0,77.61,77.5,77.66,1469,371,471,1450,solve ExtraTrees overfittng
Tier,Min,TIME,Model,Train_Accuracy,Test_Accuracy,F1_score,ROC_AUC,TN,FP,FN,TP,Note
GRANDMASTER,10,2023-11-24 21:16:25,"RandomForestClassifier(max_leaf_nodes=100, random_state=10)",80.0,73.09,73.14,73.12,1371,469,543,1378,solve ExtraTrees overfittng
GRANDMASTER,10,2023-11-24 21:16:25,"LGBMClassifier(max_depth=8, num_leaves=15, random_state=10, verbosity=0)",85.54,78.14,78.28,78.17,1458,382,440,1481,solve ExtraTrees overfittng
