CHALLENGER,10,2023-11-23 17:30:06,"RandomForestClassifier(max_leaf_nodes=100, random_state=10)",80.41,74.33,74.87,74.31,1427,521,494,1512,solve overfittng
CHALLENGER,10,2023-11-23 17:30:06,"LGBMClassifier(max_depth=12, num_leaves=20, random_state=10, verbosity=0)",86.67,78.98,79.51,78.96,1511,437,394,1612,solve overfittng
CHALLENGER,10,2023-11-23 17:30:09,"CatBoost{'depth': 6, 'l2_leaf_reg': 15, 'border_count': 150, 'verbose': 0, 'random_state': 10}",89.69,80.3,80.74,80.28,1542,406,373,1633,solve overfittng
CHALLENGER,10,2023-11-23 17:30:11,ExtraTreesClassifier(random_state=10),100.0,77.52,78.0,77.5,1489,459,430,1576,solve overfittng
Tier,Min,TIME,Model,Train_Accuracy,Test_Accuracy,F1_score,ROC_AUC,TN,FP,FN,TP,Note
CHALLENGER,10,2023-11-23 17:30:21,"RandomForestClassifier(max_leaf_nodes=100, random_state=10)",80.41,74.33,74.87,74.31,1427,521,494,1512,solve overfittng
CHALLENGER,10,2023-11-23 17:30:22,"LGBMClassifier(max_depth=12, num_leaves=20, random_state=10, verbosity=0)",86.67,78.98,79.51,78.96,1511,437,394,1612,solve overfittng
CHALLENGER,10,2023-11-23 17:30:25,"CatBoost{'depth': 6, 'l2_leaf_reg': 15, 'verbose': 0, 'random_state': 10}",89.78,80.6,81.07,80.58,1545,403,364,1642,solve overfittng
CHALLENGER,10,2023-11-23 17:30:27,ExtraTreesClassifier(random_state=10),100.0,77.52,78.0,77.5,1489,459,430,1576,solve overfittng
Tier,Min,TIME,Model,Train_Accuracy,Test_Accuracy,F1_score,ROC_AUC,TN,FP,FN,TP,Note
CHALLENGER,10,2023-11-23 17:30:39,"RandomForestClassifier(max_leaf_nodes=100, random_state=10)",80.41,74.33,74.87,74.31,1427,521,494,1512,solve overfittng
CHALLENGER,10,2023-11-23 17:30:39,"LGBMClassifier(max_depth=12, num_leaves=20, random_state=10, verbosity=0)",86.67,78.98,79.51,78.96,1511,437,394,1612,solve overfittng
CHALLENGER,10,2023-11-23 17:30:43,"CatBoost{'depth': 6, 'l2_leaf_reg': 20, 'verbose': 0, 'random_state': 10}",89.3,80.27,80.7,80.26,1543,405,375,1631,solve overfittng
CHALLENGER,10,2023-11-23 17:30:44,ExtraTreesClassifier(random_state=10),100.0,77.52,78.0,77.5,1489,459,430,1576,solve overfittng
Tier,Min,TIME,Model,Train_Accuracy,Test_Accuracy,F1_score,ROC_AUC,TN,FP,FN,TP,Note
CHALLENGER,10,2023-11-23 17:30:55,"RandomForestClassifier(max_leaf_nodes=100, random_state=10)",80.41,74.33,74.87,74.31,1427,521,494,1512,solve overfittng
CHALLENGER,10,2023-11-23 17:30:55,"LGBMClassifier(max_depth=12, num_leaves=20, random_state=10, verbosity=0)",86.67,78.98,79.51,78.96,1511,437,394,1612,solve overfittng
CHALLENGER,10,2023-11-23 17:31:01,"CatBoost{'depth': 8, 'l2_leaf_reg': 15, 'verbose': 0, 'random_state': 10}",96.15,80.05,80.51,80.03,1535,413,376,1630,solve overfittng
CHALLENGER,10,2023-11-23 17:31:02,ExtraTreesClassifier(random_state=10),100.0,77.52,78.0,77.5,1489,459,430,1576,solve overfittng
Tier,Min,TIME,Model,Train_Accuracy,Test_Accuracy,F1_score,ROC_AUC,TN,FP,FN,TP,Note
CHALLENGER,10,2023-11-23 17:31:23,"RandomForestClassifier(max_leaf_nodes=100, random_state=10)",80.41,74.33,74.87,74.31,1427,521,494,1512,solve overfittng
CHALLENGER,10,2023-11-23 17:31:23,"LGBMClassifier(max_depth=12, num_leaves=20, random_state=10, verbosity=0)",86.67,78.98,79.51,78.96,1511,437,394,1612,solve overfittng
CHALLENGER,10,2023-11-23 17:31:26,"CatBoost{'l2_leaf_reg': 15, 'verbose': 0, 'random_state': 10}",89.78,80.6,81.07,80.58,1545,403,364,1642,solve overfittng
CHALLENGER,10,2023-11-23 17:31:28,ExtraTreesClassifier(random_state=10),100.0,77.52,78.0,77.5,1489,459,430,1576,solve overfittng
Tier,Min,TIME,Model,Train_Accuracy,Test_Accuracy,F1_score,ROC_AUC,TN,FP,FN,TP,Note
CHALLENGER,10,2023-11-23 17:32:24,"RandomForestClassifier(max_leaf_nodes=100, random_state=10)",80.41,74.33,74.87,74.31,1427,521,494,1512,solve overfittng
CHALLENGER,10,2023-11-23 17:32:24,"LGBMClassifier(max_depth=12, num_leaves=20, random_state=10, verbosity=0)",86.67,78.98,79.51,78.96,1511,437,394,1612,solve overfittng
CHALLENGER,10,2023-11-23 17:32:28,"CatBoost{'depth': 6, 'l2_leaf_reg': 15, 'verbose': 0, 'bagging_temperature': 0.8, 'random_state': 10}",89.78,80.6,81.07,80.58,1545,403,364,1642,solve overfittng
CHALLENGER,10,2023-11-23 17:32:29,ExtraTreesClassifier(random_state=10),100.0,77.52,78.0,77.5,1489,459,430,1576,solve overfittng
Tier,Min,TIME,Model,Train_Accuracy,Test_Accuracy,F1_score,ROC_AUC,TN,FP,FN,TP,Note
CHALLENGER,10,2023-11-23 17:33:48,"RandomForestClassifier(max_leaf_nodes=100, random_state=10)",80.41,74.33,74.87,74.31,1427,521,494,1512,solve catBoost overfittng
CHALLENGER,10,2023-11-23 17:33:48,"LGBMClassifier(max_depth=12, num_leaves=20, random_state=10, verbosity=0)",86.67,78.98,79.51,78.96,1511,437,394,1612,solve catBoost overfittng
CHALLENGER,10,2023-11-23 17:33:52,"CatBoost{'depth': 6, 'l2_leaf_reg': 15, 'verbose': 0, 'bagging_temperature': 0.8, 'random_state': 10}",89.78,80.6,81.07,80.58,1545,403,364,1642,solve catBoost overfittng
CHALLENGER,10,2023-11-23 17:33:53,ExtraTreesClassifier(random_state=10),100.0,77.52,78.0,77.5,1489,459,430,1576,solve catBoost overfittng
Tier,Min,TIME,Model,Train_Accuracy,Test_Accuracy,F1_score,ROC_AUC,TN,FP,FN,TP,Note
CHALLENGER,10,2023-11-23 17:34:19,"RandomForestClassifier(max_leaf_nodes=100, random_state=10)",80.41,74.33,74.87,74.31,1427,521,494,1512,solve ExtraTrees overfittng
CHALLENGER,10,2023-11-23 17:34:19,"LGBMClassifier(max_depth=12, num_leaves=20, random_state=10, verbosity=0)",86.67,78.98,79.51,78.96,1511,437,394,1612,solve ExtraTrees overfittng
CHALLENGER,10,2023-11-23 17:34:22,"CatBoost{'depth': 6, 'l2_leaf_reg': 15, 'verbose': 0, 'bagging_temperature': 0.8, 'random_state': 10}",89.78,80.6,81.07,80.58,1545,403,364,1642,solve ExtraTrees overfittng
CHALLENGER,10,2023-11-23 17:34:24,ExtraTreesClassifier(random_state=10),100.0,77.52,78.0,77.5,1489,459,430,1576,solve ExtraTrees overfittng
Tier,Min,TIME,Model,Train_Accuracy,Test_Accuracy,F1_score,ROC_AUC,TN,FP,FN,TP,Note
CHALLENGER,10,2023-11-23 17:34:37,"RandomForestClassifier(max_leaf_nodes=100, random_state=10)",80.41,74.33,74.87,74.31,1427,521,494,1512,solve ExtraTrees overfittng
CHALLENGER,10,2023-11-23 17:34:37,"LGBMClassifier(max_depth=12, num_leaves=20, random_state=10, verbosity=0)",86.67,78.98,79.51,78.96,1511,437,394,1612,solve ExtraTrees overfittng
CHALLENGER,10,2023-11-23 17:34:40,"CatBoost{'depth': 6, 'l2_leaf_reg': 15, 'verbose': 0, 'bagging_temperature': 0.8, 'random_state': 10}",89.78,80.6,81.07,80.58,1545,403,364,1642,solve ExtraTrees overfittng
CHALLENGER,10,2023-11-23 17:34:41,"ExtraTreesClassifier(max_depth=10, random_state=10)",81.69,74.81,75.32,74.8,1438,510,486,1520,solve ExtraTrees overfittng
Tier,Min,TIME,Model,Train_Accuracy,Test_Accuracy,F1_score,ROC_AUC,TN,FP,FN,TP,Note
CHALLENGER,10,2023-11-23 17:35:07,"RandomForestClassifier(max_leaf_nodes=100, random_state=10)",80.41,74.33,74.87,74.31,1427,521,494,1512,solve ExtraTrees overfittng
CHALLENGER,10,2023-11-23 17:35:07,"LGBMClassifier(max_depth=12, num_leaves=20, random_state=10, verbosity=0)",86.67,78.98,79.51,78.96,1511,437,394,1612,solve ExtraTrees overfittng
CHALLENGER,10,2023-11-23 17:35:11,"CatBoost{'depth': 6, 'l2_leaf_reg': 15, 'verbose': 0, 'bagging_temperature': 0.8, 'random_state': 10}",89.78,80.6,81.07,80.58,1545,403,364,1642,solve ExtraTrees overfittng
CHALLENGER,10,2023-11-23 17:35:11,"ExtraTreesClassifier(max_depth=8, random_state=10)",77.39,73.52,73.77,73.52,1435,513,534,1472,solve ExtraTrees overfittng
Tier,Min,TIME,Model,Train_Accuracy,Test_Accuracy,F1_score,ROC_AUC,TN,FP,FN,TP,Note
CHALLENGER,10,2023-11-23 17:35:41,"RandomForestClassifier(max_leaf_nodes=100, random_state=10)",80.41,74.33,74.87,74.31,1427,521,494,1512,solve ExtraTrees overfittng
CHALLENGER,10,2023-11-23 17:35:41,"LGBMClassifier(max_depth=12, num_leaves=20, random_state=10, verbosity=0)",86.67,78.98,79.51,78.96,1511,437,394,1612,solve ExtraTrees overfittng
CHALLENGER,10,2023-11-23 17:35:44,"CatBoost{'depth': 6, 'l2_leaf_reg': 15, 'verbose': 0, 'bagging_temperature': 0.8, 'random_state': 10}",89.78,80.6,81.07,80.58,1545,403,364,1642,solve ExtraTrees overfittng
CHALLENGER,10,2023-11-23 17:35:45,"ExtraTreesClassifier(max_depth=10, random_state=10)",81.69,74.81,75.32,74.8,1438,510,486,1520,solve ExtraTrees overfittng
Tier,Min,TIME,Model,Train_Accuracy,Test_Accuracy,F1_score,ROC_AUC,TN,FP,FN,TP,Note
CHALLENGER,10,2023-11-23 17:37:34,"RandomForest{'bootstrap': True, 'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': None, 'max_features': 'sqrt', 'max_leaf_nodes': 100, 'max_samples': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 100, 'n_jobs': None, 'oob_score': False, 'random_state': 10, 'verbose': 0, 'warm_start': False}",80.41,74.33,74.87,74.31,1427,521,494,1512,solve ExtraTrees overfittng
CHALLENGER,10,2023-11-23 17:37:34,"LightGBM{'boosting_type': 'gbdt', 'class_weight': None, 'colsample_bytree': 1.0, 'importance_type': 'split', 'learning_rate': 0.1, 'max_depth': 12, 'min_child_samples': 20, 'min_child_weight': 0.001, 'min_split_gain': 0.0, 'n_estimators': 100, 'n_jobs': None, 'num_leaves': 20, 'objective': None, 'random_state': 10, 'reg_alpha': 0.0, 'reg_lambda': 0.0, 'subsample': 1.0, 'subsample_for_bin': 200000, 'subsample_freq': 0, 'verbosity': 0}",86.67,78.98,79.51,78.96,1511,437,394,1612,solve ExtraTrees overfittng
CHALLENGER,10,2023-11-23 17:37:37,"CatBoost{'depth': 6, 'l2_leaf_reg': 15, 'verbose': 0, 'random_state': 10}",89.78,80.6,81.07,80.58,1545,403,364,1642,solve ExtraTrees overfittng
